Jornada:1 ;;17-18 de Octubre de 2015;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Llinars Benjamí;;;
Teià Futbol Cinc Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
F.S. Olímpic Argentona Benjamí;-;Dosrius F.S. Benjamí;;;
A.D. Baró De Viver Benjami;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
C.F.S. La Garriga Benjamí;-;Lloret Esportiu F.s. Benjami;;;
Manyanet Sant Andreu F.S. Benjamí;-;C.E.F.S. Granollers Benjamí;;;
  Jornada:2 ;;24 i 25 de Octubre de 2015;;;
F.S. Llinars Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;Manyanet Sant Andreu F.S. Benjamí;;;
Dosrius F.S. Benjamí;-;Teià Futbol Cinc Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
Lloret Esportiu F.s. Benjami;-;A.D. Baró De Viver Benjami;;;
C.E.F.S. Granollers Benjamí;-;C.F.S. La Garriga Benjamí;;;
  Jornada:3  ;;31 i 01 de Novembre de 2015;;;
F.S. Llinars Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
Manyanet Sant Andreu F.S. Benjamí;-;Dosrius F.S. Benjamí;;;
Teià Futbol Cinc Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;Lloret Esportiu F.s. Benjami;;;
A.D. Baró De Viver Benjami;-;C.E.F.S. Granollers Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;C.F.S. La Garriga Benjamí;;;
  Jornada:4 ;;7 i 8 de Novembre de 2015;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;Manyanet Sant Andreu F.S. Benjamí;;;
Dosrius F.S. Benjamí;-;F.S. Llinars Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Lloret Esportiu F.s. Benjami;-;Teià Futbol Cinc Benjamí;;;
C.E.F.S. Granollers Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
C.F.S. La Garriga Benjamí;-;A.D. Baró De Viver Benjami;;;
  Jornada:5  ;;14 i 15 de Novembre de 2015;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;Dosrius F.S. Benjamí;;;
F.S. Llinars Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;Lloret Esportiu F.s. Benjami;;;
Teià Futbol Cinc Benjamí;-;C.E.F.S. Granollers Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;C.F.S. La Garriga Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;A.D. Baró De Viver Benjami;;;
  Jornada:6  ;;21 i 22 de Novembre de 2015;;;
Dosrius F.S. Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
Lloret Esportiu F.s. Benjami;-;F.S. Llinars Benjamí;;;
C.E.F.S. Granollers Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
C.F.S. La Garriga Benjamí;-;Teià Futbol Cinc Benjamí;;;
A.D. Baró De Viver Benjami;-;F.S. Olímpic Argentona Benjamí;;;
  Jornada:7 ;;28 i 29 de Novembre de 2015;;;
Dosrius F.S. Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí;;;
F.S. Sant Cebrià De Vallalta Benjamí B;-;Lloret Esportiu F.s. Benjami;;;
F.S. Llinars Benjamí;-;C.E.F.S. Granollers Benjamí;;;
Manyanet Sant Andreu F.S. Benjamí;-;C.F.S. La Garriga Benjamí;;;
Teià Futbol Cinc Benjamí;-;A.D. Baró De Viver Benjami;;;
Manyanet Sant Andreu F.S. Benjamí;-;F.S. Olímpic Argentona Benjamí;;;
  Jornada:8 ;;12 i 13 de Desembre de 2015;;;
F.S. Sant Cebrià De Vallalta Benjamí;-;Manyanet Sant Andreu F.S. Benjamí;;;
Lloret Esportiu F.s. Benjami;-;Dosrius F.S. Benjamí;;;
C.E.F.S. Granollers Benjamí;-;F.S. Sant Cebrià De Vallalta Benjamí B;;;
C.F.S. La Garriga Benjamí;-;F.S. Llinars Benjamí;;;
A.D. Baró De Viver Benjami;-;Manyanet Sant Andreu F.S. Benjamí;;;
F.S. Olímpic Argentona Benjamí;-;Teià Futbol Cinc Benjamí;;;
