Estat;Observacions;Equip 1;Resultat;Equip 2;Àrbitres;Data;Hora;Lloc;Jornada;Grup;Estat de la competició;Competició;Esport
;;"Escola de Futsal Grèvol Infantil ""A""";-;"F.S. Union Llagostense Mecman Infantil ""A""""";PABLO GARCIA LLUBIA;24/03/2018;09:45;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 1;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Futbol sala
;;Restaurant 2007 La Fuliola;-;*RETIRAT COPA*Oli Les Cabanes Juncosa F.S.;;24/03/2018;17:30;Pista de les Escoles- cami de boldu s/n- 25332 La Fuliola;Jornada 1;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Futbol sala
;;F.S. Unión Llagostense MecMan;-;Sagrerenc C.E. A;;24/03/2018;17:30;Complex esportiu municipal El Turó- Carrer de Joaquim Blume- La Llagosta- Espanya;Jornada 16;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Futbol sala
;;F.S. Llinars Senior Femeni;-;C.E. Orange Papiol Femení;;24/03/2018;19:00;Pavelló annex de Llinars del Vallès - Av. Pau Casals- 22-24- 08450 Llinars del Vallès- Barcelona;Jornada 13;Nacional Femenina A;;05. Nacional Femenina;Futbol sala
;;A.E. Les Botigues De Sitges;-;C.E. Orange Papiol;;24/03/2018;20:15;Poliesportiu De Pins Vens;Jornada 11;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Futbol sala
;;"Orange Futsal Castellbisbal ""B""";-;Betis Catalunya F.S. B;;25/03/2018;10:00;Pista Municipal de Castellbisbal- C/agricultura s/n Castellbisbal;Jornada 22;2a. Territorial A;;04. 2ª Territorial 2017-2018;Futbol sala
;;"F.S. Esclop Juvenil ""A""";-;"F.S. Telic Group Bigues i Riells Juvenil ""A""";;25/03/2018;12:00;Escola Torreguitart Carrer de Vallirana- 14- 08207 Sabadell- Barcelona;Jornada 11;"Juvenil ""A""";;07. Juvenil;Futbol sala
;;A.E. I.E.S. Manuel Blancafort;-;A.E. Tiana Nacional Femenina;;25/03/2018;17:00;Can Violí- Avinguda 11 de Setembre- s/n- 08530 La Garriga- Barcelona;Jornada 12;Nacional Femenina A;;05. Nacional Femenina;Futbol sala
;;Atlètic Sant Boi;3 - 4;F.S. Esclop;MARCO ANTONIO GALLARDO BARÓ;22/03/2018;21:15;Colegio Público Josep María Ciurana- Carrer Manuel de Falla- Sant Boi de Llobregat- España;Jornada 22;2a. Territorial A;;04. 2ª Territorial 2017-2018;Futbol sala
;;"F.S. Esclop Infantil ""B""";2 - 4;"Escola de Futsal Grèvol Infantil ""B""";DAVID VALIENTE MARTIN;23/03/2018;19:00;Col·legi Públic Gaudí- Carrer d'Ordesa- Sabadell- Espanya;Jornada 16;"Infantil ""A""";;09. Infantil;Futbol sala
