Betània Patmos Barcelona;-;*RETIRAT* F.S. Porqueres;;23/09/2017;19:30;Pavelló Universitat de Barcelona- Avinguda Diagonal 695-701 Barcelona;Jornada 1;NACIONAL CATALANA 2017-18;01. Nacional Catalana 2017-2018
*RETIRAT* Sants Atletic F.S. Femení;-;Futbol Sala Femeni Lloret de Mar;;07/10/2017;19:00;Poliesportiu Municipal La Bascula;Jornada 1;Nacional Femenina A;05. Nacional Femenina
*RETIRAT* Trans Azanuy Fraga Femení;-;Alcarràs - Fraga Futsal;;08/10/2017;12:00;Pabellón Polideportivo Cortes de Aragón Paseo de la Constitución- 22520 Fraga- Huesca;Jornada 1;Nacional Femenina B;05. Nacional Femenina
Futsal Dante;-;*RETIRAT* F.S. Porqueres;;08/10/2017;13:15;;Jornada 3;NACIONAL CATALANA 2017-18;01. Nacional Catalana 2017-2018
Bar Passadis Dynamo Cervera F.s.;-;*RETIRAT* La Ràpita C.F.S.;;08/10/2017;15:30;;Jornada 1;1a Territorial D;03. 1a Territorial 2017-2018
*RETIRAT* F.S. Llinars Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;14/10/2017;09:00;;Jornada 1;Pre-benjami A;12. Pre-benjami
*RETIRAT* Betania F.S. Cadet;-;Betània Patmos Barcelona Cadet;;14/10/2017;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 1;"Cadet ""B""";08. Cadet
"Escola Pia Santa Anna Mataró Infantil ""A""";-;Descansa;;14/10/2017;12:00;;Jornada 1;"Infantil ""A""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";-;Descansa;;14/10/2017;12:00;;Jornada 1;"Infantil ""B""";09. Infantil
Celler de l' Arnau;-;*RETIRAT* Trans Azanuy Fraga Femení;;14/10/2017;15:00;BALAGUER POLIESPORTIU CARRER URGELL;Jornada 2;Nacional Femenina B;05. Nacional Femenina
*RETIRAT* C.F.S. La Garriga Cadet;-;Olímpic Argentona Cadet;;14/10/2017;16:00;Poliesportiu Can Noguera;Jornada 1;"Cadet ""A""";08. Cadet
Peramola F.s.;-;*RETIRAT* Club Futsal Alcarràs C;;14/10/2017;16:00;Pista Poliesportiva Peramola;Jornada 2;2a Territorial D;04. 2ª Territorial 2017-2018
Descansa;-;A.E. Moià Cadet;;15/10/2017;17:00;;Jornada 1;"Cadet ""A""";08. Cadet
C.E. Orange Papiol Femení;-;*RETIRAT* Sants Atletic F.S. Femení;;15/10/2017;20:00;PavellÓ Poliesportiu Municipal El Papiol;Jornada 2;Nacional Femenina A;05. Nacional Femenina
*RETIRAT* F.S. Llinars Pre-benjamí;-;Olimpic Argentona Pre-benjamí;;21/10/2017;09:00;;Jornada 2;Pre-benjami A;12. Pre-benjami
Betània Patmos Barcelona Juvenil C;-;Descansa;;21/10/2017;11:00;Escola Betània Patmos Av. Mare de Déu de Lorda- 2-16- 08034 Barcelona;Jornada 2;"Juvenil ""B""";07. Juvenil
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;Sagrerenc C.E. Pre-benjamí;;21/10/2017;11:00;Pavellon Can Badell- Avinguda Prat de la Riba- Bigues i Riells- Espanya;Jornada 2;Pre-benjami A;12. Pre-benjami
"Futbol Sala Corbera Cadet ""B""";-;*RETIRAT* Betania F.S. Cadet;;21/10/2017;14:00;;Jornada 2;"Cadet ""B""";08. Cadet
"Futbol Sala Corbera Cadet ""A""";-;Descansa;;21/10/2017;16:00;;Jornada 2;"Cadet ""A""";08. Cadet
Grup de Joves Can Tusell Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;;21/10/2017;17:00;Pista Pol. De Can Tusell (gespa Artificial);Jornada 2;"Cadet ""A""";08. Cadet
"F.S. Esclop Juvenil ""A""";-;Descansa;;21/10/2017;18:00;;Jornada 2;"Juvenil ""A""";07. Juvenil
C.E.F.S. Fonollosa;-;Descansa;;21/10/2017;18:00;;Jornada 3;2a Territorial D;04. 2ª Territorial 2017-2018
*RETIRAT* Sants Atletic F.S. Femení;-;"Orange Futsal Castellbisbal ""B"" - Nacional Femenina";;21/10/2017;19:00;;Jornada 3;Nacional Femenina A;05. Nacional Femenina
Oli Les Cabanes Juncosa F.S.;-;*RETIRAT* La Ràpita C.F.S.;;22/10/2017;12:00;;Jornada 3;1a Territorial D;03. 1a Territorial 2017-2018
*RETIRAT* Trans Azanuy Fraga Femení;-;FS Vinaixa Femeni;;22/10/2017;12:00;;Jornada 3;Nacional Femenina B;05. Nacional Femenina
*RETIRAT* Betania F.S. Cadet;-;"Escola de Futsal Grèvol Cadet ""B""";;28/10/2017;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 3;"Cadet ""B""";08. Cadet
