A.E. Sallent Cadet;1 - 3;"Futbol Sala Corbera Cadet ""A""";14/10/2017;12:15;1;"Cadet ""A""";08. Cadet
F.S. Union Llagostense Mecman Cadet;5 - 3;C.f.s. Alcalà Prat - Bar La Terraza Cadet;14/10/2017;12:30;1;"Cadet ""A""";08. Cadet
*RETIRAT* C.F.S. La Garriga Cadet;-;Olímpic Argentona Cadet;14/10/2017;16:00;1;"Cadet ""A""";08. Cadet
A.E. Tiana Cadet;6 - 3;Sagrerenc C.E. Cadet A;14/10/2017;19:30;1;"Cadet ""A""";08. Cadet
F.S. Llinars Cadet;0 - 3;Grup de Joves Can Tusell Cadet;15/10/2017;16:30;1;"Cadet ""A""";08. Cadet
Descansa;-;A.E. Moià Cadet;15/10/2017;17:00;1;"Cadet ""A""";08. Cadet
A.E. Moià Cadet;1 - 3;F.S. Llinars Cadet;21/10/2017;10:30;2;"Cadet ""A""";08. Cadet
C.f.s. Alcalà Prat - Bar La Terraza Cadet;4 - 1;A.E. Tiana Cadet;21/10/2017;12:00;2;"Cadet ""A""";08. Cadet
Sagrerenc C.E. Cadet A;5 - 3;A.E. Sallent Cadet;21/10/2017;12:45;2;"Cadet ""A""";08. Cadet
"Futbol Sala Corbera Cadet ""A""";-;Descansa;21/10/2017;16:00;2;"Cadet ""A""";08. Cadet
Grup de Joves Can Tusell Cadet;-;*RETIRAT* C.F.S. La Garriga Cadet;21/10/2017;17:00;2;"Cadet ""A""";08. Cadet
Olímpic Argentona Cadet;7 - 0;F.S. Union Llagostense Mecman Cadet;22/10/2017;09:00;2;"Cadet ""A""";08. Cadet
A.E. Sallent Cadet;5 - 0;C.f.s. Alcalà Prat - Bar La Terraza Cadet;28/10/2017;12:15;3;"Cadet ""A""";08. Cadet
F.S. Union Llagostense Mecman Cadet;1 - 2;A.E. Tiana Cadet;28/10/2017;15:45;3;"Cadet ""A""";08. Cadet
F.S. Llinars Cadet;1 - 7;"Futbol Sala Corbera Cadet ""A""";28/10/2017;16:15;3;"Cadet ""A""";08. Cadet
*RETIRAT* C.F.S. La Garriga Cadet;-;A.E. Moià Cadet;28/10/2017;16:30;3;"Cadet ""A""";08. Cadet
Olímpic Argentona Cadet;8 - 5;Grup de Joves Can Tusell Cadet;28/10/2017;20:00;3;"Cadet ""A""";08. Cadet
Descansa;-;Sagrerenc C.E. Cadet A;29/10/2017;17:00;3;"Cadet ""A""";08. Cadet
C.f.s. Alcalà Prat - Bar La Terraza Cadet;-;Descansa;04/11/2017;12:00;4;"Cadet ""A""";08. Cadet
A.E. Moià Cadet;1 - 6;Olímpic Argentona Cadet;04/11/2017;12:00;4;"Cadet ""A""";08. Cadet
Sagrerenc C.E. Cadet A;4 - 4;F.S. Llinars Cadet;04/11/2017;15:30;4;"Cadet ""A""";08. Cadet
"Futbol Sala Corbera Cadet ""A""";-;*RETIRAT* C.F.S. La Garriga Cadet;04/11/2017;16:00;4;"Cadet ""A""";08. Cadet
A.E. Tiana Cadet;2 - 4;A.E. Sallent Cadet;04/11/2017;20:15;4;"Cadet ""A""";08. Cadet
Grup de Joves Can Tusell Cadet;10 - 2;F.S. Union Llagostense Mecman Cadet;25/11/2017;17:00;4;"Cadet ""A""";08. Cadet
Grup de Joves Can Tusell Cadet;-;A.E. Moià Cadet;07/04/2018;17:00;5;"Cadet ""A""";08. Cadet
F.S. Union Llagostense Mecman Cadet;0 - 2;A.E. Sallent Cadet;11/11/2017;12:00;5;"Cadet ""A""";08. Cadet
F.S. Llinars Cadet;3 - 2;C.f.s. Alcalà Prat - Bar La Terraza Cadet;11/11/2017;16:30;5;"Cadet ""A""";08. Cadet
*RETIRAT* C.F.S. La Garriga Cadet;-;Sagrerenc C.E. Cadet A;12/11/2017;11:00;5;"Cadet ""A""";08. Cadet
Olímpic Argentona Cadet;6 - 1;"Futbol Sala Corbera Cadet ""A""";12/11/2017;11:00;5;"Cadet ""A""";08. Cadet
Descansa;-;A.E. Tiana Cadet;12/11/2017;17:00;5;"Cadet ""A""";08. Cadet
