*RETIRAT* Betania F.S. Cadet;-;Betània Patmos Barcelona Cadet;14/10/2017;10:00;1;"Cadet ""B""";08. Cadet
C.E. Maristes De Rubí Cadet;4 - 5;E.P. Badalona Centre Cadet;14/10/2017;10:30;1;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""A""";15 - 0;"Futbol Sala Corbera Cadet ""B""";14/10/2017;10:45;1;"Cadet ""B""";08. Cadet
C.E.F.S. Granollers Cadet;0 - 8;"Escola de Futsal Grèvol Cadet ""B""";14/10/2017;16:00;1;"Cadet ""B""";08. Cadet
Athletic Torre Roja Cadet;2 - 13;Futsal Dante Cadet;15/10/2017;16:30;1;"Cadet ""B""";08. Cadet
Montsant Sala 5 Cadet;2 - 3;Neurofutbol F.S.;15/10/2017;17:00;1;"Cadet ""B""";08. Cadet
Betània Patmos Barcelona Cadet;2 - 3;Futsal Dante Cadet;21/10/2017;10:00;2;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""B""";4 - 3;"Escola de Futsal Grèvol Cadet ""A""";21/10/2017;10:45;2;"Cadet ""B""";08. Cadet
E.P. Badalona Centre Cadet;8 - 0;C.E.F.S. Granollers Cadet;21/10/2017;12:00;2;"Cadet ""B""";08. Cadet
"Futbol Sala Corbera Cadet ""B""";-;*RETIRAT* Betania F.S. Cadet;21/10/2017;14:00;2;"Cadet ""B""";08. Cadet
Neurofutbol F.S.;3 - 2;C.E. Maristes De Rubí Cadet;21/10/2017;14:00;2;"Cadet ""B""";08. Cadet
Athletic Torre Roja Cadet;4 - 2;Montsant Sala 5 Cadet;22/10/2017;17:00;2;"Cadet ""B""";08. Cadet
Futsal Dante Cadet;4 - 0;Montsant Sala 5 Cadet;01/11/2017;09:00;3;"Cadet ""B""";08. Cadet
*RETIRAT* Betania F.S. Cadet;-;"Escola de Futsal Grèvol Cadet ""B""";28/10/2017;10:00;3;"Cadet ""B""";08. Cadet
Betània Patmos Barcelona Cadet;7 - 1;"Futbol Sala Corbera Cadet ""B""";28/10/2017;10:00;3;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""A""";4 - 1;E.P. Badalona Centre Cadet;28/10/2017;10:45;3;"Cadet ""B""";08. Cadet
C.E. Maristes De Rubí Cadet;9 - 3;Athletic Torre Roja Cadet;28/10/2017;12:00;3;"Cadet ""B""";08. Cadet
C.E.F.S. Granollers Cadet;0 - 7;Neurofutbol F.S.;28/10/2017;16:00;3;"Cadet ""B""";08. Cadet
E.P. Badalona Centre Cadet;-;*RETIRAT* Betania F.S. Cadet;04/11/2017;10:00;4;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""B""";2 - 2;Betània Patmos Barcelona Cadet;04/11/2017;10:45;4;"Cadet ""B""";08. Cadet
"Futbol Sala Corbera Cadet ""B""";0 - 10;Futsal Dante Cadet;04/11/2017;14:00;4;"Cadet ""B""";08. Cadet
Neurofutbol F.S.;4 - 2;"Escola de Futsal Grèvol Cadet ""A""";04/11/2017;14:00;4;"Cadet ""B""";08. Cadet
Athletic Torre Roja Cadet;4 - 8;C.E.F.S. Granollers Cadet;05/11/2017;16:30;4;"Cadet ""B""";08. Cadet
Montsant Sala 5 Cadet;2 - 6;C.E. Maristes De Rubí Cadet;05/11/2017;16:30;4;"Cadet ""B""";08. Cadet
*RETIRAT* Betania F.S. Cadet;-;Neurofutbol F.S.;11/11/2017;10:00;5;"Cadet ""B""";08. Cadet
Betània Patmos Barcelona Cadet;10 - 2;E.P. Badalona Centre Cadet;11/11/2017;10:00;5;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""A""";14 - 3;Athletic Torre Roja Cadet;11/11/2017;10:45;5;"Cadet ""B""";08. Cadet
C.E.F.S. Granollers Cadet;9 - 1;Montsant Sala 5 Cadet;11/11/2017;16:00;5;"Cadet ""B""";08. Cadet
Futsal Dante Cadet;9 - 1;C.E. Maristes De Rubí Cadet;12/11/2017;15:00;5;"Cadet ""B""";08. Cadet
"Futbol Sala Corbera Cadet ""B""";1 - 2;"Escola de Futsal Grèvol Cadet ""B""";25/11/2017;12:00;5;"Cadet ""B""";08. Cadet
E.P. Badalona Centre Cadet;3 - 3;"Futbol Sala Corbera Cadet ""B""";18/11/2017;10:00;6;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""B""";3 - 2;Futsal Dante Cadet;18/11/2017;13:15;6;"Cadet ""B""";08. Cadet
Neurofutbol F.S.;2 - 2;Betània Patmos Barcelona Cadet;18/11/2017;14:00;6;"Cadet ""B""";08. Cadet
C.E. Maristes De Rubí Cadet;5 - 3;C.E.F.S. Granollers Cadet;18/11/2017;17:45;6;"Cadet ""B""";08. Cadet
Montsant Sala 5 Cadet;1 - 5;"Escola de Futsal Grèvol Cadet ""A""";19/11/2017;16:45;6;"Cadet ""B""";08. Cadet
Athletic Torre Roja Cadet;-;*RETIRAT* Betania F.S. Cadet;19/11/2017;18:00;6;"Cadet ""B""";08. Cadet
*RETIRAT* Betania F.S. Cadet;-;Montsant Sala 5 Cadet;02/12/2017;10:00;7;"Cadet ""B""";08. Cadet
Betània Patmos Barcelona Cadet;6 - 2;Athletic Torre Roja Cadet;02/12/2017;10:00;7;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""B""";12 - 4;E.P. Badalona Centre Cadet;02/12/2017;10:45;7;"Cadet ""B""";08. Cadet
"Escola de Futsal Grèvol Cadet ""A""";5 - 0;C.E. Maristes De Rubí Cadet;02/12/2017;13:15;7;"Cadet ""B""";08. Cadet
"Futbol Sala Corbera Cadet ""B""";1 - 6;Neurofutbol F.S.;02/12/2017;14:00;7;"Cadet ""B""";08. Cadet
Futsal Dante Cadet;10 - 1;C.E.F.S. Granollers Cadet;03/12/2017;15:00;7;"Cadet ""B""";08. Cadet
E.P. Badalona Centre Cadet;5 - 5;Futsal Dante Cadet;16/12/2017;10:00;8;"Cadet ""B""";08. Cadet
