"F.S. Union Llagostense Mecman Infantil ""B""";5 - 3;Olímpic Argentona Infantil;14/10/2017;11:15;1;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";-;Descansa;14/10/2017;12:00;1;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;1 - 4;"F.S. Esclop Infantil ""A""";14/10/2017;12:00;1;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;7 - 1;C.F.S. La Garriga Infantil;14/10/2017;12:00;1;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;0 - 5;"Escola Pia Santa Anna Mataró Infantil ""B""";15/10/2017;11:30;1;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";9 - 3;"Escola Pia Santa Anna Mataró Infantil ""C""";20/10/2017;17:45;2;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;3 - 5;A.E. Moià Infantil;21/10/2017;12:30;2;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;5 - 4;F.S. Llinars Infantil;22/10/2017;10:00;2;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";7 - 2;"F.S. Union Llagostense Mecman Infantil ""B""";22/10/2017;12:00;2;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;15 - 1;"Escola Pia Santa Anna Mataró Infantil ""B""";28/10/2017;09:00;3;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";6 - 9;Olímpic Argentona Infantil;28/10/2017;10:00;3;"Infantil ""B""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""B""";1 - 4;F.S. Llinars Infantil;28/10/2017;11:30;3;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;-;Descansa;28/10/2017;12:00;3;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";6 - 3;C.F.S. La Garriga Infantil;28/10/2017;16:00;3;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;6 - 2;"F.S. Union Llagostense Mecman Infantil ""B""";04/11/2017;11:30;4;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";3 - 3;A.E. Moià Infantil;04/11/2017;12:00;4;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;7 - 3;"Escola Pia Santa Anna Mataró Infantil ""C""";04/11/2017;17:45;4;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;3 - 4;C.F.S. Alcalà Prat - Bar La Terraza Infantil;05/11/2017;11:00;4;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;5 - 4;Olímpic Argentona Infantil;11/11/2017;10:30;5;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";10 - 1;"Escola Pia Santa Anna Mataró Infantil ""B""";11/11/2017;12:00;5;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;14 - 2;F.S. Llinars Infantil;11/11/2017;12:00;5;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;-;Descansa;11/11/2017;13:00;5;"Infantil ""B""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""B""";9 - 2;"Escola Pia Santa Anna Mataró Infantil ""C""";12/11/2017;12:00;5;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";0 - 21;C.F.S. Alcalà Prat - Bar La Terraza Infantil;18/11/2017;10:15;6;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";2 - 4;C.F.S. La Garriga Infantil;18/11/2017;12:00;6;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;2 - 5;"F.S. Esclop Infantil ""A""";19/11/2017;13:00;6;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;6 - 2;A.E. Moià Infantil;19/11/2017;17:45;6;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";-;Descansa;02/12/2017;10:00;7;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";3 - 0;F.S. Llinars Infantil;02/12/2017;10:00;7;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;12 - 1;"Escola Pia Santa Anna Mataró Infantil ""C""";02/12/2017;10:00;7;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;1 - 4;Olímpic Argentona Infantil;02/12/2017;12:00;7;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;10 - 3;"F.S. Union Llagostense Mecman Infantil ""B""";02/12/2017;12:00;7;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";1 - 18;"F.S. Esclop Infantil ""A""";16/12/2017;10:15;8;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;12 - 4;A.E. Moià Infantil;17/12/2017;10:30;8;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;-;Descansa;17/12/2017;11:00;8;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;3 - 2;C.F.S. La Garriga Infantil;17/12/2017;17:45;8;"Infantil ""B""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""B""";1 - 2;"Escola Pia Santa Anna Mataró Infantil ""B""";25/11/2017;16:00;8;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;7 - 1;"F.S. Union Llagostense Mecman Infantil ""B""";13/01/2018;09:30;9;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;8 - 2;"Escola Pia Santa Anna Mataró Infantil ""C""";13/01/2018;10:30;9;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";5 - 10;Olímpic Argentona Infantil;13/01/2018;12:00;9;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";2 - 5;C.F.S. Alcalà Prat - Bar La Terraza Infantil;14/01/2018;17:00;9;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";11 - 1;A.E. Moià Infantil;20/01/2018;11:30;10;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";7 - 9;F.S. Llinars Infantil;20/01/2018;12:00;10;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;0 - 10;C.F.S. Alcalà Prat - Bar La Terraza Infantil;20/01/2018;16:30;10;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;2 - 0;"F.S. Union Llagostense Mecman Infantil ""B""";21/01/2018;11:00;10;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;Descansa;27/01/2018;12:00;11;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";1 - 3;"Escola Pia Santa Anna Mataró Infantil ""B""";27/01/2018;12:00;11;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;1 - 7;Olímpic Argentona Infantil;27/01/2018;12:30;11;"Infantil ""B""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""B""";4 - 7;"F.S. Esclop Infantil ""A""";28/01/2018;10:45;11;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;5 - 4;C.F.S. La Garriga Infantil;28/01/2018;12:00;11;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;-;"F.S. Union Llagostense Mecman Infantil ""B""";03/02/2018;09:30;12;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";-;C.F.S. Alcalà Prat - Bar La Terraza Infantil;03/02/2018;12:00;12;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;-;"F.S. Esclop Infantil ""A""";03/02/2018;16:00;12;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""C""";04/02/2018;11:00;12;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";-;F.S. Llinars Infantil;17/02/2018;10:15;13;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""B""";17/02/2018;12:00;13;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;Olímpic Argentona Infantil;17/02/2018;12:00;13;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";-;Descansa;17/02/2018;17:00;13;"Infantil ""B""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""B""";-;C.F.S. La Garriga Infantil;18/02/2018;10:45;13;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";-;"F.S. Union Llagostense Mecman Infantil ""B""";24/02/2018;10:15;14;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""B""";-;"F.S. Esclop Infantil ""A""";24/02/2018;12:00;14;"Infantil ""B""";09. Infantil
F.S. Llinars Infantil;-;C.F.S. Alcalà Prat - Bar La Terraza Infantil;24/02/2018;15:30;14;"Infantil ""B""";09. Infantil
Olímpic Argentona Infantil;-;A.E. Moià Infantil;25/02/2018;11:00;14;"Infantil ""B""";09. Infantil
C.F.S. La Garriga Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""B""";10/03/2018;12:00;15;"Infantil ""B""";09. Infantil
A.E. Moià Infantil;-;F.S. Llinars Infantil;10/03/2018;12:00;15;"Infantil ""B""";09. Infantil
C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;"Escola Pia Santa Anna Mataró Infantil ""C""";10/03/2018;12:00;15;"Infantil ""B""";09. Infantil
"F.S. Esclop Infantil ""A""";-;Olímpic Argentona Infantil;10/03/2018;17:00;15;"Infantil ""B""";09. Infantil
"F.S. Union Llagostense Mecman Infantil ""B""";-;Descansa;11/03/2018;11:00;15;"Infantil ""B""";09. Infantil
"Escola Pia Santa Anna Mataró Infantil ""C""";-;A.E. Moià Infantil;17/03/2018;10:15;16;"Infantil ""B""";09. Infantil
