A.E. Sallent Juvenil;3 - 2;A.E. Tiana Juvenil;14/10/2017;13:30;1;"Juvenil ""A""";07. Juvenil
F.S. Llinars Juvenil;7 - 1;"F.S. Esclop Juvenil ""A""";14/10/2017;16:00;1;"Juvenil ""A""";07. Juvenil
F.S. Hostalriquenc Juvenil;1 - 4;A.E. Moià Juvenil;25/11/2017;12:00;1;"Juvenil ""A""";07. Juvenil
"F.S. Telic Group Bigues i Riells Juvenil ""A""";2 - 0;Betània Patmos Barcelona Juvenil B;25/11/2017;16:00;1;"Juvenil ""A""";07. Juvenil
Sagrerenc C.E. Juvenil B;2 - 3;C.E. Gadex Juvenil;25/11/2017;16:00;1;"Juvenil ""A""";07. Juvenil
Betània Patmos Barcelona Juvenil B;3 - 4;F.S. Llinars Juvenil;21/10/2017;12:00;2;"Juvenil ""A""";07. Juvenil
A.E. Moià Juvenil;4 - 3;Sagrerenc C.E. Juvenil B;21/10/2017;12:00;2;"Juvenil ""A""";07. Juvenil
C.E. Gadex Juvenil;5 - 2;"F.S. Telic Group Bigues i Riells Juvenil ""A""";21/10/2017;13:00;2;"Juvenil ""A""";07. Juvenil
A.E. Tiana Juvenil;2 - 1;F.S. Hostalriquenc Juvenil;21/10/2017;17:00;2;"Juvenil ""A""";07. Juvenil
"F.S. Esclop Juvenil ""A""";-;Descansa;21/10/2017;18:00;2;"Juvenil ""A""";07. Juvenil
Olimpic Argentona Juvenil;6 - 1;A.E. Sallent Juvenil;22/10/2017;11:00;2;"Juvenil ""A""";07. Juvenil
Sagrerenc C.E. Juvenil B;2 - 0;A.E. Tiana Juvenil;28/10/2017;11:30;3;"Juvenil ""A""";07. Juvenil
"F.S. Esclop Juvenil ""A""";2 - 7;Betània Patmos Barcelona Juvenil B;28/10/2017;16:00;3;"Juvenil ""A""";07. Juvenil
"F.S. Telic Group Bigues i Riells Juvenil ""A""";3 - 2;A.E. Moià Juvenil;28/10/2017;16:30;3;"Juvenil ""A""";07. Juvenil
F.S. Llinars Juvenil;0 - 1;C.E. Gadex Juvenil;28/10/2017;18:45;3;"Juvenil ""A""";07. Juvenil
F.S. Hostalriquenc Juvenil;1 - 6;Olimpic Argentona Juvenil;29/10/2017;12:00;3;"Juvenil ""A""";07. Juvenil
Betània Patmos Barcelona Juvenil B;-;Descansa;04/11/2017;12:00;4;"Juvenil ""A""";07. Juvenil
