Betania F.S.Juvenil;3 - 2;C.C.A. Plaza Macael Juvenil;14/10/2017;11:00;1;"Juvenil ""B""";07. Juvenil
Futbol Sala Corbera Juvenil;9 - 2;"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";14/10/2017;16:00;1;"Juvenil ""B""";07. Juvenil
"F.S. Esclop Juvenil ""B""";0 - 2;Betània Patmos Barcelona Juvenil C;15/10/2017;12:15;1;"Juvenil ""B""";07. Juvenil
Athletic Torre Roja Juvenil;2 - 2;C.E. Maristes De Rubí Juvenil;15/10/2017;18:00;1;"Juvenil ""B""";07. Juvenil
C.F.S. La Garriga Juvenil A;3 - 3;Escola de Futsal Grèvol Juvenil;26/11/2017;11:00;1;"Juvenil ""B""";07. Juvenil
Betània Patmos Barcelona Juvenil C;-;Descansa;21/10/2017;11:00;2;"Juvenil ""B""";07. Juvenil
Escola de Futsal Grèvol Juvenil;7 - 3;Athletic Torre Roja Juvenil;21/10/2017;13:15;2;"Juvenil ""B""";07. Juvenil
"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";1 - 2;Betania F.S.Juvenil;21/10/2017;14:00;2;"Juvenil ""B""";07. Juvenil
C.C.A. Plaza Macael Juvenil;3 - 0;"F.S. Esclop Juvenil ""B""";21/10/2017;18:00;2;"Juvenil ""B""";07. Juvenil
C.E. Maristes De Rubí Juvenil;4 - 3;Futbol Sala Corbera Juvenil;21/10/2017;20:15;2;"Juvenil ""B""";07. Juvenil
Montsant Sala 5 Juvenil;2 - 5;C.F.S. La Garriga Juvenil A;22/10/2017;17:30;2;"Juvenil ""B""";07. Juvenil
Betania F.S.Juvenil;5 - 5;C.E. Maristes De Rubí Juvenil;28/10/2017;10:00;3;"Juvenil ""B""";07. Juvenil
Betània Patmos Barcelona Juvenil C;4 - 0;C.C.A. Plaza Macael Juvenil;28/10/2017;11:00;3;"Juvenil ""B""";07. Juvenil
Futbol Sala Corbera Juvenil;2 - 4;Escola de Futsal Grèvol Juvenil;28/10/2017;16:00;3;"Juvenil ""B""";07. Juvenil
"F.S. Esclop Juvenil ""B""";2 - 1;"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";28/10/2017;17:30;3;"Juvenil ""B""";07. Juvenil
Athletic Torre Roja Juvenil;6 - 2;Montsant Sala 5 Juvenil;29/10/2017;18:00;3;"Juvenil ""B""";07. Juvenil
Escola de Futsal Grèvol Juvenil;11 - 2;Betania F.S.Juvenil;04/11/2017;12:00;4;"Juvenil ""B""";07. Juvenil
C.F.S. La Garriga Juvenil A;1 - 4;Athletic Torre Roja Juvenil;04/11/2017;12:30;4;"Juvenil ""B""";07. Juvenil
"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";3 - 3;Betània Patmos Barcelona Juvenil C;04/11/2017;16:30;4;"Juvenil ""B""";07. Juvenil
C.C.A. Plaza Macael Juvenil;-;Descansa;04/11/2017;18:00;4;"Juvenil ""B""";07. Juvenil
C.E. Maristes De Rubí Juvenil;2 - 3;"F.S. Esclop Juvenil ""B""";04/11/2017;19:00;4;"Juvenil ""B""";07. Juvenil
Montsant Sala 5 Juvenil;4 - 3;Futbol Sala Corbera Juvenil;05/11/2017;17:30;4;"Juvenil ""B""";07. Juvenil
Betania F.S.Juvenil;3 - 2;Montsant Sala 5 Juvenil;11/11/2017;10:00;5;"Juvenil ""B""";07. Juvenil
Betània Patmos Barcelona Juvenil C;8 - 2;C.E. Maristes De Rubí Juvenil;11/11/2017;11:00;5;"Juvenil ""B""";07. Juvenil
"F.S. Esclop Juvenil ""B""";1 - 4;Escola de Futsal Grèvol Juvenil;11/11/2017;11:00;5;"Juvenil ""B""";07. Juvenil
Futbol Sala Corbera Juvenil;2 - 4;C.F.S. La Garriga Juvenil A;11/11/2017;16:00;5;"Juvenil ""B""";07. Juvenil
C.C.A. Plaza Macael Juvenil;4 - 0;"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";11/11/2017;18:00;5;"Juvenil ""B""";07. Juvenil
Escola de Futsal Grèvol Juvenil;-;Betània Patmos Barcelona Juvenil C;07/02/2018;20:00;6;"Juvenil ""B""";07. Juvenil
C.F.S. La Garriga Juvenil A;4 - 5;Betania F.S.Juvenil;18/11/2017;16:00;6;"Juvenil ""B""";07. Juvenil
"F.S. Tèlic Group Bigues i Riells Juvenil ""B""";-;Descansa;18/11/2017;16:30;6;"Juvenil ""B""";07. Juvenil
