Sagrerenc C.E. Juvenil Nacional A;5 - 2;AE Empenta - El Pilar Juvenil Nacional;14/10/2017;12:45;1;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;2 - 2;Grup de Joves Can Tusell Juvenil Nacional;14/10/2017;16:00;1;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;1 - 9;Jesuïtes Clot Juvenil Nacional;14/10/2017;16:30;1;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;2 - 1;Betània Patmos Barcelona Juvenil Nacional;14/10/2017;19:00;1;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;0 - 2;A.C. Coloso Juvenil Nacional;15/10/2017;11:30;1;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;2 - 1;Banús Futsal Juvenil Nacional;21/10/2017;16:00;2;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;7 - 3;E.F.S. Alta Segarra Juvenil Nacional;21/10/2017;17:30;2;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;5 - 2;Teià F5 Juvenil Nacional;21/10/2017;18:00;2;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;1 - 3;F.s. Unión Llagostense MecMan Juvenil Nacional;21/10/2017;18:30;2;Juvenil Nacional;06. Juvenil Nacional
Jesuïtes Clot Juvenil Nacional;4 - 8;Sagrerenc C.E. Juvenil Nacional A;26/11/2017;09:00;2;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;4 - 2;Grup de Joves Can Tusell Juvenil Nacional;04/11/2017;16:45;3;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;4 - 3;AE Empenta - El Pilar Juvenil Nacional;04/11/2017;18:00;3;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;6 - 1;Jesuïtes Clot Juvenil Nacional;04/11/2017;18:00;3;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;3 - 3;A.C. Coloso Juvenil Nacional;04/11/2017;18:00;3;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;3 - 5;Banús Futsal Juvenil Nacional;10/12/2017;09:30;3;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;6 - 2;E.F.S. Alta Segarra Juvenil Nacional;11/11/2017;16:00;4;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;4 - 3;Sagrerenc C.E. Juvenil Nacional A;11/11/2017;17:30;4;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;2 - 3;Teià F5 Juvenil Nacional;11/11/2017;19:00;4;Juvenil Nacional;06. Juvenil Nacional
Jesuïtes Clot Juvenil Nacional;4 - 6;Betània Patmos Barcelona Juvenil Nacional;11/11/2017;20:45;4;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;1 - 4;F.s. Unión Llagostense MecMan Juvenil Nacional;26/11/2017;09:00;4;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;8 - 0;Banús Futsal Juvenil Nacional;18/11/2017;16:45;5;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;2 - 9;Jesuïtes Clot Juvenil Nacional;18/11/2017;18:00;5;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;8 - 3;Grup de Joves Can Tusell Juvenil Nacional;18/11/2017;18:00;5;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;-;A.C. Coloso Juvenil Nacional;18/11/2017;18:00;5;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;6 - 1;E.F.S. Alta Segarra Juvenil Nacional;19/11/2017;12:30;5;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;2 - 4;F.s. Unión Llagostense MecMan Juvenil Nacional;02/12/2017;16:00;6;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;3 - 5;Sagrerenc C.E. Juvenil Nacional A;02/12/2017;18:00;6;Juvenil Nacional;06. Juvenil Nacional
Jesuïtes Clot Juvenil Nacional;-;Teià F5 Juvenil Nacional;03/02/2018;20:45;6;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;4 - 6;AE Empenta - El Pilar Juvenil Nacional;03/12/2017;10:30;6;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;-;Betània Patmos Barcelona Juvenil Nacional;10/02/2018;10:00;6;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;9 - 3;Teià F5 Juvenil Nacional;16/12/2017;15:30;7;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;7 - 1;E.F.S. Alta Segarra Juvenil Nacional;16/12/2017;16:30;7;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;1 - 7;A.C. Coloso Juvenil Nacional;16/12/2017;18:00;7;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;6 - 4;Banús Futsal Juvenil Nacional;16/12/2017;18:00;7;Juvenil Nacional;06. Juvenil Nacional
Jesuïtes Clot Juvenil Nacional;1 - 2;Grup de Joves Can Tusell Juvenil Nacional;16/12/2017;20:45;7;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;7 - 3;Jesuïtes Clot Juvenil Nacional;13/01/2018;16:00;8;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;8 - 3;AE Empenta - El Pilar Juvenil Nacional;13/01/2018;16:00;8;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;4 - 1;F.s. Unión Llagostense MecMan Juvenil Nacional;13/01/2018;16:30;8;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;1 - 10;Betània Patmos Barcelona Juvenil Nacional;13/01/2018;17:30;8;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;4 - 3;Grup de Joves Can Tusell Juvenil Nacional;14/01/2018;11:00;8;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;-;Sagrerenc C.E. Juvenil Nacional A;20/01/2018;18:00;9;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;8 - 3;E.F.S. Alta Segarra Juvenil Nacional;20/01/2018;18:30;9;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;3 - 8;A.C. Coloso Juvenil Nacional;21/01/2018;10:30;9;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;5 - 0;Teià F5 Juvenil Nacional;21/01/2018;12:00;9;Juvenil Nacional;06. Juvenil Nacional
Jesuïtes Clot Juvenil Nacional;7 - 4;Banús Futsal Juvenil Nacional;21/01/2018;12:30;9;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;5 - 3;Teià F5 Juvenil Nacional;27/01/2018;16:00;10;Juvenil Nacional;06. Juvenil Nacional
Jesuïtes Clot Juvenil Nacional;-;E.F.S. Alta Segarra Juvenil Nacional;27/01/2018;16:15;10;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;3 - 2;F.s. Unión Llagostense MecMan Juvenil Nacional;27/01/2018;18:00;10;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;3 - 4;Sagrerenc C.E. Juvenil Nacional A;27/01/2018;18:00;10;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;3 - 3;Banús Futsal Juvenil Nacional;28/01/2018;12:00;10;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;-;AE Empenta - El Pilar Juvenil Nacional;17/02/2018;15:45;11;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;-;Grup de Joves Can Tusell Juvenil Nacional;17/02/2018;16:00;11;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;-;A.C. Coloso Juvenil Nacional;17/02/2018;16:00;11;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;-;Jesuïtes Clot Juvenil Nacional;17/02/2018;16:30;11;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;-;Betània Patmos Barcelona Juvenil Nacional;18/02/2018;12:30;11;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;-;E.F.S. Alta Segarra Juvenil Nacional;24/02/2018;16:00;12;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;-;Teià F5 Juvenil Nacional;24/02/2018;16:00;12;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;-;Sagrerenc C.E. Juvenil Nacional A;24/02/2018;17:30;12;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;-;Betània Patmos Barcelona Juvenil Nacional;24/02/2018;18:00;12;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;-;A.C. Coloso Juvenil Nacional;10/03/2018;15:30;13;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;-;Banús Futsal Juvenil Nacional;10/03/2018;16:00;13;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;-;Jesuïtes Clot Juvenil Nacional;10/03/2018;18:00;13;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;-;Grup de Joves Can Tusell Juvenil Nacional;10/03/2018;18:00;13;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;-;AE Empenta - El Pilar Juvenil Nacional;11/03/2018;11:30;13;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;-;F.s. Unión Llagostense MecMan Juvenil Nacional;17/03/2018;16:00;14;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;-;Sagrerenc C.E. Juvenil Nacional A;17/03/2018;16:00;14;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;-;Teià F5 Juvenil Nacional;17/03/2018;16:00;14;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;-;Betània Patmos Barcelona Juvenil Nacional;18/03/2018;12:00;14;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;-;E.F.S. Alta Segarra Juvenil Nacional;21/04/2018;16:45;15;Juvenil Nacional;06. Juvenil Nacional
AE Empenta - El Pilar Juvenil Nacional;-;Grup de Joves Can Tusell Juvenil Nacional;21/04/2018;18:00;15;Juvenil Nacional;06. Juvenil Nacional
Betània Patmos Barcelona Juvenil Nacional;-;A.C. Coloso Juvenil Nacional;21/04/2018;18:00;15;Juvenil Nacional;06. Juvenil Nacional
F.s. Unión Llagostense MecMan Juvenil Nacional;-;Banús Futsal Juvenil Nacional;21/04/2018;18:00;15;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;-;Jesuïtes Clot Juvenil Nacional;22/04/2018;11:30;15;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;-;AE Empenta - El Pilar Juvenil Nacional;28/04/2018;16:00;16;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;-;Betània Patmos Barcelona Juvenil Nacional;28/04/2018;16:00;16;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;-;F.s. Unión Llagostense MecMan Juvenil Nacional;28/04/2018;16:00;16;Juvenil Nacional;06. Juvenil Nacional
Grup de Joves Can Tusell Juvenil Nacional;-;Jesuïtes Clot Juvenil Nacional;29/04/2018;10:30;16;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;-;Sagrerenc C.E. Juvenil Nacional A;29/04/2018;11:30;16;Juvenil Nacional;06. Juvenil Nacional
A.C. Coloso Juvenil Nacional;-;Grup de Joves Can Tusell Juvenil Nacional;26/05/2018;16:00;18;Juvenil Nacional;06. Juvenil Nacional
Banús Futsal Juvenil Nacional;-;Jesuïtes Clot Juvenil Nacional;26/05/2018;16:00;18;Juvenil Nacional;06. Juvenil Nacional
E.F.S. Alta Segarra Juvenil Nacional;-;AE Empenta - El Pilar Juvenil Nacional;26/05/2018;16:00;18;Juvenil Nacional;06. Juvenil Nacional
Sagrerenc C.E. Juvenil Nacional A;-;Betània Patmos Barcelona Juvenil Nacional;26/05/2018;;18;Juvenil Nacional;06. Juvenil Nacional
Teià F5 Juvenil Nacional;-;F.s. Unión Llagostense MecMan Juvenil Nacional;27/05/2018;11:30;18;Juvenil Nacional;06. Juvenil Nacional
