Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;*BAIXA COPA*Futbol Sala Altorricon;-;"F.S. Borges ""B""";GERMAN MARTIN FERNANDEZ;06/05/2018;12:00;Pavellon Municipal Altorricón;Jornada 1;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;"Pony´s Futbol Sala ""A""";-;*RETIRAT COPA*Futbol Sala Femeni Lloret de Mar;;06/05/2018;12:00;;Jornada 2;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA*C.E.P.S.;-;***RETIRAT COPA***C.f.s. Alfarràs;;06/05/2018;15:00;;Jornada 3;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*C.E. Orange Papiol Femení;-;Celler de l' Arnau - Jovents BALAGUER;;06/05/2018;16:00;;Jornada 2;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;Futbol Sala Corbera;-;C.e. Gadex B;;06/05/2018;19:00;Pabellón Municipal de Deportes -  C/Josep Tarradellas -  08757 Corbera de Llobregat;Cuartos de final;"COPA FEDERACIÓ BARCELONA GRUP ""B""";;"COPA FEDERACIÓ BARCELONA GRUP ""B""";Futbolín
;;*RETIRAT COPA*Ivars d'Urgell F.S.F.;-;*RETIRAT COPA*FS Vinaixa Femeni;;12/05/2018;10:00;;Jornada 3;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;Betania F.S.Juvenil;-;Descansa;;12/05/2018;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 20;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;C.F.S. Alcalà Prat - Bar La Terraza Infantil;-;"*RETIRAT COPA*Escola Pia Santa Anna Mataró Infantil ""A""";;12/05/2018;11:00;;Jornada 5;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;Oli Les Cabanes Juncosa F.S. Femení;-;*RETIRAT COPA*F.S. Llinars Senior Femeni;;12/05/2018;14:30;;Jornada 3;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA* Peramola F.s.;-;***RETIRAT COPA***F.S.R. Massoteres - Sant Guim de la Plana;;12/05/2018;15:00;;Jornada 4;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;Athletic Aguilar A;-;*RETIRAT COPA*Oli Les Cabanes Juncosa F.S.;;12/05/2018;15:30;Zona Esportiva - Aguilar de Segarra;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Futbol Sala Femení Vila-Sana;-;*RETIRAT COPA*C.E. Orange Papiol Femení;;12/05/2018;16:00;;Jornada 3;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;C.E.F.S. Granollers Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;12/05/2018;16:00;PavellÓ Municipal De Can Bassa;Jornada 9;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;C.E.F.S. Granollers Cadet;-;*RETIRAT* Betania F.S. Cadet;;12/05/2018;16:00;PavellÓ Municipal De Can Bassa;Jornada 20;"Cadet ""B""";;08. Cadet;Fútbol sala
;;"F.S. Telic Group Bigues i Riells Juvenil ""A""";-;Descansa;;12/05/2018;16:30;Pavellon Can Badell -  Avinguda Prat de la Riba -  Bigues i Riells -  Espanya;Jornada 20;"Juvenil ""A""";;07. Juvenil;Fútbol sala
;;***RETIRAT COPA***C.f.s. Alfarràs;-;***RETIRAT COPA***Futbol Club Montmaneu;;12/05/2018;17:00;;Jornada 4;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;"F.S. Borges ""B""";-;*** RETIRT COPA***Gela;;12/05/2018;17:00;;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*BAIXA COPA*Futbol Sala Altorricon;-;*RETIRAT COPA*Restaurant 2007 La Fuliola;;12/05/2018;17:00;;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;F.S Fontcoberta;-;*RETIRAT COPA*Futsal Cassà;;12/05/2018;17:30;;Jornada 4;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;*RETIRAT COPA*Futbol Sala Femeni Lloret de Mar;-;*RETIRAT COPA*E.F.S. Alta Segarra Femení;;12/05/2018;18:00;;Jornada 3;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;F.S. Begues;-;"Gelida Industrial F.S.C. ""A""";;12/05/2018;18:00;Pavello Jaume Viñas Pi Club de Futbol Begues Carrer dels Esports -  s/n 08859 Begues;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;*RETIRADA COPA*Atlètic Vidreres B;-;Vilobí F.S.;;12/05/2018;18:30;;Jornada 4;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;C.f.s. Alcalà Prat - Bar La Terraza;-;*RETIRAT* C.C.A. Plaza Macael;;12/05/2018;20:00;CEM SAGNIER -  EL Prat de Llobregat -  C/Federica Montseny s/n;Jornada 23;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Sagrerenc C.E. Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;;12/05/2018;;;Jornada 9;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;Bar Passadis Dynamo Cervera F.s.;-;*RETIRAT COPA*C.E.P.S.;DAVID MACARULLA CASTAÑEDA;13/05/2018;15:30;PavellÓ Municipal De Cervera;Jornada 4;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;Descansa;-;*RETIRAT* C.F.S. La Garriga Cadet;;13/05/2018;17:00;;Jornada 20;"Cadet ""A""";;08. Cadet;Fútbol sala
;;*RETIRAT* A.E.F.S. Montgat B;-;C.e. Gadex;;13/05/2018;17:00;;Jornada 23;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;"*RETIRAT COPA*Escola Pia Santa Anna Mataró Infantil ""A""";-;"Escola Pia Santa Anna Mataró Infantil ""B""";;19/05/2018;11:00;;Jornada 6;"COPA INFANTIL GRUP ""A""";;COPA INFANTIL;Fútbol sala
;;***RETIRAT COPA***Futbol Club Montmaneu;-;Bar Passadis Dynamo Cervera F.s.;;19/05/2018;14:30;;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;F.s. Borges Femení;-;*RETIRAT COPA*Ivars d'Urgell F.S.F.;FRANCISCO JUAN INGLES PAREJA;19/05/2018;15:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 4;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;C.e. Gadex Femení;-;*RETIRAT COPA*Futbol Sala Femeni Lloret de Mar;;19/05/2018;15:00;;Jornada 4;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA*E.F.S. Alta Segarra Femení;-;Celler de l' Arnau - Jovents BALAGUER;;19/05/2018;15:00;;Jornada 4;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA* Peramola F.s.;-;***RETIRAT COPA***C.f.s. Alfarràs;;19/05/2018;15:00;;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Futsal Cassà;-;Vilobí F.S.;;19/05/2018;15:30;;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;***RETIRAT COPA***F.S.R. Massoteres - Sant Guim de la Plana;-;"Club Futsal Alcarràs ""B""";;19/05/2018;15:30;;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*FS Vinaixa Femeni;-;Oli Les Cabanes Juncosa F.S. Femení;;19/05/2018;16:00;;Jornada 4;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;Alcarràs - Fraga Futsal;-;*RETIRAT COPA*Futbol Sala Femení Vila-Sana;;19/05/2018;16:00;;Jornada 4;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;Teià Futbol Cinc B;-;*RETIRAT* A.E.F.S. Montgat B;;19/05/2018;16:00;;Jornada 24;1a Territorial A;;03. 1a Territorial 2017-2018;Fútbol sala
;;Grup de Joves Can Tusell Cadet;-;A.E. Moià Cadet;;19/05/2018;17:00;Pista Pol. De Can Tusell (gespa Artificial);Jornada 5;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Ca La Guidó Futsal;-;Descansa;;19/05/2018;17:00;;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Futsal Cadaqués;-;Descansa;;19/05/2018;17:00;;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;C.E.F.S. Fonollosa;-;*BAIXA COPA*Futbol Sala Altorricon;;19/05/2018;17:00;Pista Poliesportiva de Fonollosa -  C/ Mestre Angela Torres -  08259 Fonollosa;Jornada 6;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Restaurant 2007 La Fuliola;-;C.F.S. Ponts;;19/05/2018;17:30;;Jornada 6;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*F.s. Porqueres B;-;CEFS Begur;;19/05/2018;18:00;;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;*RETIRAT COPA*F.S. Llinars Senior Femeni;-;"*RETIRAT COPA*Orange Futsal Castellbisbal ""B"" - Nacional Femenina";;19/05/2018;19:00;;Jornada 4;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT* C.C.A. Plaza Macael;-;C.F.S. Lliça De Vall;;19/05/2018;19:30;;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;Sagrerenc C.E. A;-;*RETIRAT* F.S. Porqueres;;19/05/2018;20:00;;Jornada 24;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
;;*RETIRAT COPA*Oli Les Cabanes Juncosa F.S.;-;"F.S. Borges ""B""";;20/05/2018;11:00;;Jornada 6;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;Escola Pia Santa Anna Mataró;-;A.E.F.S. Montgat;;20/05/2018;11:00;Escola Pia Santa Anna Mataró -  Carrer de Sant Agustí -  Mataró -  Espanya;Jornada 24;PRIMERA NACIONAL 2017-18;;02. Primera Nacional 2017-2018;Fútbol sala
;;*RETIRAT COPA*C.E.P.S.;-;Futsal Bellmunt;;20/05/2018;15:00;Pista Poliesportiva de Fonollosa -  C/ Mestre Angela Torres -  08259 Fonollosa;Jornada 5;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*C.E. Orange Papiol Femení;-;"Pony´s Futbol Sala ""A""";;20/05/2018;16:00;;Jornada 4;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;Futsal Maçanet;-;*RETIRADA COPA*Atlètic Vidreres B;;20/05/2018;20:00;;Jornada 5;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;*RETIRAT* F.S. Llinars Pre-benjamí;-;C.E.F.S. Granollers Pre-benjamí;;26/05/2018;09:00;;Jornada 10;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;Olimpic Argentona Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;;26/05/2018;10:00;;Jornada 10;Pre-benjami Copa;;12. Pre-benjami;Fútbol sala
;;*RETIRAT* Betania F.S. Cadet;-;"Escola de Futsal Grèvol Cadet ""A""";;26/05/2018;10:00;Trinitat Vella Centre Esportiu Municipal;Jornada 21;"Cadet ""B""";;08. Cadet;Fútbol sala
;;Escola de Futsal Grèvol Juvenil;-;Descansa;;26/05/2018;13:15;;Jornada 21;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Sagrerenc C.E. Aleví;-;"Olimpic Argentona Aleví ""B""";;26/05/2018;13:15;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 21;"Aleví ""A""";;10. Aleví;Fútbol sala
;;*** RETIRT COPA***Gela;-;*BAIXA COPA*Futbol Sala Altorricon;;26/05/2018;15:00;pavello poliesportiu de Gerb;Jornada 2;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;A.E. I.E.S. Manuel Blancafort;-;*RETIRAT COPA*F.S. Llinars Senior Femeni;;26/05/2018;15:00;;Jornada 5;"COPA FEMENINA GRUP ""A""";;COPA FEMENINA;Fútbol sala
;;C.e. Gadex Femení;-;*RETIRAT COPA*C.E. Orange Papiol Femení;;26/05/2018;15:00;;Jornada 5;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;E.F.S. Ripoll B Sant Pau de Segúries;-;*RETIRAT COPA*F.s. Porqueres B;;26/05/2018;15:00;;Jornada 6;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;*RETIRAT COPA*Futsal Cassà;-;F.S. Caldes De Malavella;;26/05/2018;15:30;;Jornada 6;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;***RETIRAT COPA***F.S.R. Massoteres - Sant Guim de la Plana;-;***RETIRAT COPA***C.f.s. Alfarràs;;26/05/2018;15:30;;Jornada 6;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Futbol Sala Femení Vila-Sana;-;*RETIRAT COPA*E.F.S. Alta Segarra Femení;;26/05/2018;16:00;;Jornada 5;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT* C.F.S. La Garriga Cadet;-;F.S. Llinars Cadet;;26/05/2018;16:00;;Jornada 21;"Cadet ""A""";;08. Cadet;Fútbol sala
;;Athletic Aguilar A;-;*RETIRAT COPA*Restaurant 2007 La Fuliola;;26/05/2018;16:30;;Jornada 7;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Futbol Sala Femeni Lloret de Mar;-;Celler de l' Arnau - Jovents BALAGUER;;26/05/2018;18:00;;Jornada 5;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;"Club Futsal Alcarràs ""B""";-;*RETIRAT COPA*C.E.P.S.;;26/05/2018;18:00;Pavelló Municipal Andreu Aixala;Jornada 6;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*RETIRADA COPA*Atlètic Vidreres B;-;Ca La Guidó Futsal;;26/05/2018;18:30;;Jornada 6;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;P.B. Montgrí;-;Descansa;;26/05/2018;20:00;PavellÓ Municipal De Torroella De MontgrÍ;Jornada 6;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;Sagrerenc C.E. Cadet A;-;F.S. Union Llagostense Mecman Cadet;;26/05/2018;;Poliesportiu Municipal La Sagrera - C/Honduras -  2 Barcelona;Jornada 21;"Cadet ""A""";;08. Cadet;Fútbol sala
