*RETIRAT* F.S. Llinars Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;14/10/2017;09:00;1;Pre-benjami A;12. Pre-benjami
Sagrerenc C.E. Pre-benjamí;0 - 10;C.E.F.S. Granollers Pre-benjamí;14/10/2017;11:30;1;Pre-benjami A;12. Pre-benjami
Olimpic Argentona Pre-benjamí;2 - 4;C.F.S. La Garriga Pre-benjamí;26/11/2017;10:00;1;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Llinars Pre-benjamí;-;Olimpic Argentona Pre-benjamí;21/10/2017;09:00;2;Pre-benjami A;12. Pre-benjami
C.F.S. La Garriga Pre-benjamí;0 - 7;C.E.F.S. Granollers Pre-benjamí;21/10/2017;09:30;2;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;Sagrerenc C.E. Pre-benjamí;21/10/2017;11:00;2;Pre-benjami A;12. Pre-benjami
Sagrerenc C.E. Pre-benjamí;6 - 3;Olimpic Argentona Pre-benjamí;28/10/2017;10:15;3;Pre-benjami A;12. Pre-benjami
C.F.S. La Garriga Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;28/10/2017;11:00;3;Pre-benjami A;12. Pre-benjami
C.E.F.S. Granollers Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;28/10/2017;17:30;3;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Llinars Pre-benjamí;-;Sagrerenc C.E. Pre-benjamí;04/11/2017;09:00;4;Pre-benjami A;12. Pre-benjami
Olimpic Argentona Pre-benjamí;2 - 7;C.E.F.S. Granollers Pre-benjamí;04/11/2017;10:00;4;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;C.F.S. La Garriga Pre-benjamí;04/11/2017;11:00;4;Pre-benjami A;12. Pre-benjami
Olimpic Argentona Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;11/11/2017;10:00;5;Pre-benjami A;12. Pre-benjami
C.F.S. La Garriga Pre-benjamí;3 - 5;Sagrerenc C.E. Pre-benjamí;11/11/2017;11:00;5;Pre-benjami A;12. Pre-benjami
C.E.F.S. Granollers Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;11/11/2017;16:00;5;Pre-benjami A;12. Pre-benjami
C.F.S. La Garriga Pre-benjamí;6 - 1;Olimpic Argentona Pre-benjamí;18/11/2017;10:30;6;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;18/11/2017;11:00;6;Pre-benjami A;12. Pre-benjami
C.E.F.S. Granollers Pre-benjamí;11 - 0;Sagrerenc C.E. Pre-benjamí;18/11/2017;16:00;6;Pre-benjami A;12. Pre-benjami
Olimpic Argentona Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;02/12/2017;10:00;7;Pre-benjami A;12. Pre-benjami
Sagrerenc C.E. Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;02/12/2017;11:30;7;Pre-benjami A;12. Pre-benjami
C.E.F.S. Granollers Pre-benjamí;6 - 2;C.F.S. La Garriga Pre-benjamí;02/12/2017;16:00;7;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Llinars Pre-benjamí;-;C.F.S. La Garriga Pre-benjamí;16/12/2017;09:00;8;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;C.E.F.S. Granollers Pre-benjamí;16/12/2017;11:00;8;Pre-benjami A;12. Pre-benjami
Olimpic Argentona Pre-benjamí;3 - 3;Sagrerenc C.E. Pre-benjamí;17/12/2017;13:00;8;Pre-benjami A;12. Pre-benjami
C.F.S. La Garriga Pre-benjamí;-;*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;13/01/2018;11:00;9;Pre-benjami A;12. Pre-benjami
C.E.F.S. Granollers Pre-benjamí;10 - 0;Olimpic Argentona Pre-benjamí;13/01/2018;16:00;9;Pre-benjami A;12. Pre-benjami
Sagrerenc C.E. Pre-benjamí;-;*RETIRAT* F.S. Llinars Pre-benjamí;13/01/2018;;9;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Llinars Pre-benjamí;-;C.E.F.S. Granollers Pre-benjamí;20/01/2018;09:00;10;Pre-benjami A;12. Pre-benjami
*RETIRAT* F.S. Tèlic Group Bigues i Riells Pre-benjamí;-;Olimpic Argentona Pre-benjamí;20/01/2018;11:00;10;Pre-benjami A;12. Pre-benjami
Sagrerenc C.E. Pre-benjamí;3 - 3;C.F.S. La Garriga Pre-benjamí;20/01/2018;11:00;10;Pre-benjami A;12. Pre-benjami
