Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;F.S. La Salut;5 - 2;C.E.F.S. Granollers C;LAUREANO PILAR VILLALBA- NICOLAS ANDRES VALBUENA TORRES;13/04/2018;22:00;PavellÓ Municipal De Can Bassa;Jornada 19;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;Betània Patmos Barcelona Cadet;3 - 6;Neurofutbol F.S.;CRISTIANO RODI;14/04/2018;10:00;Escola Betània Patmos- Carrer de Montevideo- Barcelona- Espanya;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;"Escola de Futsal Grèvol Cadet ""A""";7 - 1;Montsant Sala 5 Cadet;LAURA PUCHE BARRANQUERO;14/04/2018;10:00;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 17;"Cadet ""B""";;08. Cadet;Fútbol sala
;;F.S Union La Salut Badalona A;5 - 3;Sagrerenc C.E. B;JOSE MANUEL GÜISADO PLIBERSCHNIG- MATILDE GOMEZ VIÑARAS;14/04/2018;10:00;CEM Besòs Ronda Sant Ramon de Penyafort s/n 08930 SAnt Adrià de Besòs;Jornada 20;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;"Escola Pia Santa Anna Mataró Infantil ""B""";2 - 5;"F.S. Union Llagostense Mecman Infantil ""B""";DAVID VALIENTE MARTIN;14/04/2018;10:15;Escola Pia Santa Anna Mataró- Carrer de Sant Agustí- Mataró- Espanya;Jornada 17;"Infantil ""B""";;09. Infantil;Fútbol sala
;;Ivars d'Urgell F.S.F.;0 - 3;Futbol Sala Femení Vila-Sana;LLUIS GONZALEZ BEAS;14/04/2018;11:00;PAVELLÓ POLIESPORTIU IVARS D'URGELL;Jornada 17;Nacional Femenina B;;05. Nacional Femenina;Fútbol sala
;;Betania F.S.Juvenil;6 - 3;C.F.S. La Garriga Juvenil A;ALBERT GONZALEZ GARCIA;14/04/2018;11:00;Trinitat Vella Centre Esportiu Municipal;Jornada 17;"Juvenil ""B""";;07. Juvenil;Fútbol sala
;;Sagrerenc C.E.Infantil;2 - 4;"Escola Pia Santa Anna Mataró Infantil ""A""";ISMAEL BENKHAJOU BAKKALI;14/04/2018;11:30;Poliesportiu Municipal La Sagrera - C/Honduras- 2 Barcelona;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
;;A.E. Sallent Infantil;3 - 1;"F.S. Esclop Infantil ""B""";JORDI GAITX PLA;14/04/2018;12:15;Pavelló D'esports Agustín Rueda de Sallent- C/verge del Pilar s/n;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
;;"Escola de Futsal Grèvol Infantil ""B""";2 - 7;"Escola de Futsal Grèvol Infantil ""A""";LAURA PUCHE BARRANQUERO;14/04/2018;12:20;Pavelló Grèvol- Carrer Provençals- 9 Barcelona;Jornada 17;"Infantil ""A""";;09. Infantil;Fútbol sala
